customer_id,country,city,gender,device,customer_segment,age
CUST00045,US,Chicago,Female,Mobile,New,25
CUST00046,UK,Toronto,Prefer not to say,Desktop,Returning,45
CUST00047,US,New York,Non-binary,Desktop,Returning,64
CUST00048,UK,Toronto,Prefer not to say,Mobile,VIP,65
CUST00049,US,Paris,Female,Desktop,Returning,45
CUST00050,UK,New York,Male,Tablet,Inactive,22
CUST00051,US,Berlin,Female,Desktop,New,18
CUST00052,CA,LA,Prefer not to say,Mobile,New,45
CUST00053,CA,New York,Male,Mobile,VIP,25
CUST00054,US,LA,Female,Desktop,New,32
CUST00055,US,LA,Female,Desktop,Returning,57
CUST00056,CA,Paris,Prefer not to say,Tablet,VIP,55
CUST00057,AU,London,Male,Tablet,New,68
CUST00058,UK,LA,Non-binary,Mobile,VIP,45
CUST00059,MX,Sydney,Female,Desktop,Returning,42
CUST00060,FR,Mexico City,Prefer not to say,Desktop,Returning,35
CUST00061,CA,LA,Non-binary,Desktop,At-Risk,35
CUST00062,DE,New York,Prefer not to say,Desktop,Returning,78
CUST00063,CA,London,Male,Tablet,Returning,40
CUST00064,US,Mexico City,Female,Tablet,Returning,70
CUST00065,UK,LA,Non-binary,Mobile,At-Risk,54
CUST00066,CA,Sydney,Non-binary,Desktop,Returning,68
CUST00067,CA,London,Non-binary,Mobile,Returning,65
CUST00068,CA,Chicago,Female,Mobile,VIP,18
CUST00069,UK,LA,Female,Desktop,New,56
CUST00070,CA,Chicago,Non-binary,Mobile,VIP,18
CUST00071,AU,Sydney,Male,Mobile,Returning,25
CUST00072,UK,New York,Non-binary,Desktop,Returning,45
CUST00073,UK,New York,Female,Mobile,Returning,18
CUST00074,US,Paris,Female,Tablet,New,28
CUST00075,CA,London,Male,Tablet,Inactive,55
CUST00076,US,LA,Female,Mobile,New,78
CUST00077,US,Sydney,Non-binary,Mobile,Returning,18
CUST00078,CA,LA,Female,Desktop,At-Risk,65
CUST00079,FR,Mexico City,Female,Tablet,Returning,33
CUST00080,US,London,Non-binary,Desktop,New,18
CUST00081,CA,London,Prefer not to say,Desktop,Returning,72
CUST00082,MX,London,Male,Mobile,Returning,65
CUST00083,DE,London,Male,Mobile,Inactive,18
CUST00084,UK,Paris,Prefer not to say,Mobile,New,36
CUST00085,CA,Chicago,Non-binary,Desktop,VIP,39
CUST00086,MX,LA,Non-binary,Desktop,New,55
CUST00087,UK,Mexico City,Prefer not to say,Desktop,VIP,18
CUST00088,CA,Sydney,Male,Mobile,At-Risk,63
CUST00089,CA,Sydney,Male,Mobile,At-Risk,53
CUST00090,US,Mexico City,Male,Tablet,New,77
CUST00091,US,Chicago,Prefer not to say,Tablet,Inactive,45
CUST00092,CA,Sydney,Female,Desktop,At-Risk,53
CUST00093,US,Chicago,Male,Desktop,Returning,61
CUST00094,UK,London,Non-binary,Tablet,At-Risk,35
CUST00095,US,Berlin,Non-binary,Tablet,Returning,45
CUST00096,UK,Toronto,Prefer not to say,Mobile,At-Risk,35
CUST00097,CA,Paris,Prefer not to say,Tablet,Returning,65
CUST00098,UK,Berlin,Male,Desktop,New,18
CUST00099,US,Chicago,Male,Desktop,New,65
CUST00100,DE,LA,Non-binary,Tablet,Returning,67
CUST00101,,Sydney,Male,Tablet,VIP,65
CUST00102,FR,LA,Prefer not to say,Mobile,Inactive,42
CUST00103,US,London,Male,Mobile,New,45
CUST00104,CA,Toronto,Prefer not to say,Tablet,Returning,37
CUST00105,US,Paris,Female,Desktop,Returning,18
CUST00106,US,Sydney,Non-binary,Tablet,Returning,49
CUST00107,FR,Sydney,Non-binary,Tablet,New,55
CUST00108,AU,London,Female,Desktop,Returning,41
CUST00109,US,London,Non-binary,Mobile,Returning,54
CUST00110,CA,New York,Prefer not to say,Desktop,Returning,18
CUST00111,CA,London,Female,Tablet,Returning,25
CUST00112,US,New York,Non-binary,Tablet,At-Risk,43
CUST00113,CA,Toronto,Female,Tablet,Returning,72
CUST00114,UK,London,Prefer not to say,Desktop,At-Risk,35
CUST00115,UK,Toronto,Prefer not to say,Tablet,New,18
CUST00116,US,Sydney,Non-binary,Tablet,Returning,35
CUST00117,DE,Berlin,Male,Tablet,At-Risk,51
CUST00118,DE,Toronto,Male,Tablet,Returning,62
CUST00119,CA,Chicago,Male,Mobile,Returning,69
CUST00120,US,Chicago,Prefer not to say,Desktop,At-Risk,25
CUST00121,UK,Chicago,Prefer not to say,Tablet,Returning,45
CUST00122,MX,Berlin,Female,Desktop,New,35
CUST00123,US,Berlin,Male,Desktop,Returning,65
CUST00124,UK,New York,Male,Desktop,VIP,18
CUST00125,US,Mexico City,Female,Tablet,At-Risk,18
CUST00126,US,Chicago,Female,Tablet,New,55
CUST00127,FR,Berlin,Female,Tablet,New,22
CUST00128,CA,Paris,Male,Tablet,New,24
CUST00129,CA,Sydney,Female,Tablet,Returning,57
CUST00130,UK,New York,Male,Desktop,Returning,35
CUST00131,FR,Sydney,Male,Mobile,Returning,18
CUST00132,US,Mexico City,Non-binary,Desktop,New,34
CUST00133,UK,LA,Male,Tablet,Returning,55
CUST00134,MX,Paris,Non-binary,Desktop,At-Risk,45
CUST00135,,London,Non-binary,Mobile,Returning,53
CUST00136,US,LA,Non-binary,Mobile,New,18
CUST00137,UK,LA,Prefer not to say,Desktop,Returning,64
CUST00138,AU,London,Non-binary,Mobile,Inactive,19
CUST00139,US,LA,Non-binary,Tablet,Returning,76
CUST00140,DE,Mexico City,Male,Tablet,At-Risk,25
CUST00141,CA,London,Non-binary,Desktop,New,24
CUST00142,DE,Chicago,Male,Mobile,Returning,65
CUST00143,MX,Chicago,Non-binary,Desktop,Returning,45
CUST00144,DE,Chicago,Female,Tablet,At-Risk,18
CUST00145,CA,Sydney,Prefer not to say,Desktop,VIP,48
CUST00146,US,London,Prefer not to say,Tablet,Returning,38
CUST00147,US,New York,Male,Mobile,Inactive,45
CUST00148,CA,New York,Prefer not to say,Tablet,Returning,41
CUST00149,MX,Mexico City,Non-binary,Mobile,VIP,61
CUST00150,MX,LA,Non-binary,Tablet,Returning,18
CUST00151,AU,LA,Prefer not to say,Mobile,Returning,79
CUST00152,DE,Berlin,Male,Desktop,At-Risk,48
CUST00153,MX,LA,Prefer not to say,Desktop,Returning,61
CUST00154,CA,LA,Female,Desktop,New,25
CUST00155,US,London,Female,Mobile,New,25
CUST00156,US,Sydney,Prefer not to say,Tablet,Inactive,25
CUST00157,FR,Berlin,Non-binary,Mobile,Returning,55
CUST00158,UK,London,Male,Desktop,Returning,65
CUST00159,UK,Berlin,Non-binary,Mobile,New,53
CUST00160,DE,Mexico City,Male,Desktop,Returning,59
CUST00161,US,Mexico City,Female,Mobile,Returning,40
CUST00162,AU,Chicago,Male,Mobile,Returning,18
CUST00163,UK,Berlin,Non-binary,Desktop,Returning,58
CUST00164,FR,Berlin,Male,Desktop,New,55
CUST00165,MX,Chicago,Non-binary,Mobile,New,41
CUST00166,CA,Paris,Female,Tablet,Inactive,35
CUST00167,UK,Berlin,Female,Tablet,Returning,45
CUST00168,UK,Paris,Non-binary,Mobile,Returning,18
CUST00169,US,Sydney,Female,Mobile,Inactive,35
CUST00170,CA,Mexico City,Male,Tablet,Returning,18
CUST00171,DE,Chicago,Female,Tablet,New,45
CUST00172,CA,Sydney,Non-binary,Tablet,VIP,75
CUST00173,US,Sydney,Female,Desktop,Inactive,35
CUST00174,UK,Mexico City,Prefer not to say,Mobile,At-Risk,38
CUST00175,US,Sydney,Non-binary,Tablet,New,35
CUST00176,,Chicago,Non-binary,Desktop,New,20
CUST00177,MX,Toronto,Prefer not to say,Desktop,Inactive,24
CUST00178,US,Toronto,Prefer not to say,Mobile,Returning,50
CUST00179,CA,Berlin,Female,Mobile,At-Risk,18
CUST00180,AU,Sydney,Prefer not to say,Tablet,At-Risk,25
CUST00181,CA,Mexico City,Prefer not to say,Mobile,At-Risk,25
CUST00182,CA,Paris,Prefer not to say,Mobile,New,18
CUST00183,UK,Toronto,Female,Desktop,Returning,20
CUST00184,CA,Chicago,Male,Tablet,Returning,25
CUST00185,UK,Mexico City,Male,Desktop,Returning,62
CUST00186,FR,London,Male,Desktop,Inactive,50
CUST00187,US,LA,Non-binary,Mobile,VIP,80
CUST00188,CA,Sydney,Prefer not to say,Tablet,returning,65
CUST00189,AU,Toronto,Male,Mobile,New,52
CUST00190,CA,Mexico City,Prefer not to say,Desktop,Returning,63
CUST00191,CA,New York,Non-binary,Desktop,At-Risk,35
CUST00192,MX,Paris,Non-binary,Mobile,Returning,65
CUST00193,CA,LA,Prefer not to say,Mobile,New,55
CUST00194,UK,LA,Non-binary,Tablet,Returning,35
CUST00195,,Sydney,Non-binary,Desktop,Returning,68
CUST00196,DE,New York,Male,Tablet,New,45
CUST00197,UK,New York,Female,Tablet,VIP,66
CUST00198,US,Berlin,Non-binary,Desktop,At-Risk,25
CUST00199,DE,Berlin,Non-binary,Desktop,VIP,25
CUST00200,UK,London,Female,Mobile,Returning,35
CUST00201,UK,Mexico City,Male,Desktop,Returning,55
CUST00202,UK,London,Prefer not to say,Mobile,Inactive,25
CUST00203,UK,Sydney,Male,Tablet,At-Risk,25
CUST00204,CA,Mexico City,Non-binary,Desktop,New,75
CUST00205,AU,Berlin,Female,Mobile,Returning,65
CUST00206,UK,Berlin,Prefer not to say,Tablet,Returning,19
CUST00207,US,Sydney,Prefer not to say,Desktop,Returning,35
CUST00208,,Sydney,Prefer not to say,Tablet,Returning,35
CUST00209,UK,Chicago,Prefer not to say,Tablet,Returning,71
CUST00210,UK,Chicago,Non-binary,Tablet,Returning,25
CUST00211,CA,Mexico City,Non-binary,Mobile,New,18
CUST00212,UK,Chicago,Female,Mobile,Returning,18
CUST00213,CA,New York,Male,Mobile,New,55
CUST00214,CA,Paris,Male,Desktop,New,65
CUST00215,CA,Sydney,Female,Tablet,Inactive,66
CUST00216,US,Sydney,Prefer not to say,Desktop,New,69
CUST00217,DE,Berlin,Non-binary,Desktop,Returning,25
CUST00218,UK,Sydney,Male,Desktop,Returning,23
CUST00219,US,Paris,Prefer not to say,Mobile,New,24
CUST00220,DE,Chicago,Prefer not to say,Tablet,Returning,68
CUST00221,UK,Paris,Prefer not to say,Mobile,New,24
CUST00222,US,Sydney,Non-binary,Tablet,New,18
CUST00223,US,Paris,Non-binary,Mobile,VIP,42
CUST00224,UK,London,Male,Desktop,Returning,25
CUST00225,CA,LA,Female,Mobile,VIP,55
CUST00226,UK,Toronto,Prefer not to say,Tablet,At-Risk,42
CUST00227,US,Sydney,Prefer not to say,Mobile,Returning,69
CUST00228,CA,Paris,Non-binary,Tablet,Returning,58
CUST00229,UK,London,Prefer not to say,Mobile,VIP,46
CUST00230,US,New York,Prefer not to say,Desktop,Returning,45
CUST00231,DE,Sydney,Female,Tablet,VIP,30
CUST00232,US,LA,Female,Mobile,Returning,18
CUST00233,US,Paris,Prefer not to say,Tablet,VIP,45
CUST00234,UK,Sydney,Prefer not to say,Desktop,Returning,25
CUST00235,UK,London,Prefer not to say,Mobile,Returning,40
CUST00236,UK,London,Non-binary,Tablet,New,37
CUST00237,UK,Mexico City,Non-binary,Desktop,Returning,35
CUST00238,UK,Paris,Non-binary,Mobile,At-Risk,45
CUST00239,AU,Sydney,Non-binary,Tablet,Returning,20
CUST00240,UK,London,Female,Mobile,Inactive,44
CUST00241,US,Mexico City,Female,Tablet,New,25
CUST00242,MX,LA,Female,Mobile,VIP,35
CUST00243,FR,Toronto,Non-binary,Desktop,Returning,45
CUST00244,US,Mexico City,Male,Mobile,Returning,65
CUST00245,MX,London,Male,Mobile,New,51
CUST00246,US,Mexico City,Prefer not to say,Mobile,returning,35
CUST00247,CA,Berlin,Female,Tablet,At-Risk,33
CUST00248,AU,Berlin,Non-binary,Tablet,New,25
CUST00249,DE,Paris,Non-binary,Mobile,At-Risk,65
CUST00250,US,Toronto,Male,Desktop,Returning,25
CUST00251,CA,New York,Non-binary,Tablet,Returning,35
CUST00252,US,London,Female,Desktop,New,65
CUST00253,CA,London,Non-binary,Tablet,New,65
CUST00254,UK,Berlin,Prefer not to say,Tablet,Returning,33
CUST00255,FR,LA,Prefer not to say,Tablet,At-Risk,33
CUST00256,DE,Mexico City,Female,Tablet,New,19
CUST00257,CA,Toronto,Prefer not to say,Mobile,Returning,55
CUST00258,US,Paris,Prefer not to say,Tablet,New,45
CUST00259,FR,Paris,Non-binary,Mobile,VIP,37
CUST00260,US,LA,Male,Mobile,Returning,45
CUST00261,,Chicago,Prefer not to say,Desktop,New,45
CUST00262,MX,Mexico City,Female,Tablet,New,45
CUST00263,US,Chicago,Female,Mobile,Returning,58
CUST00264,UK,Paris,Prefer not to say,Mobile,VIP,76
CUST00265,US,LA,Male,Tablet,New,35
CUST00266,US,New York,Prefer not to say,Tablet,New,25
CUST00267,US,Sydney,Female,Tablet,New,65
CUST00268,UK,Berlin,Non-binary,Mobile,New,35
CUST00269,UK,London,Male,Tablet,Returning,25
CUST00270,FR,Sydney,Male,Desktop,Returning,65
CUST00271,MX,Paris,Prefer not to say,Mobile,Returning,61
CUST00272,UK,Toronto,Non-binary,Tablet,New,45
CUST00273,UK,Mexico City,Female,Desktop,Inactive,45
CUST00274,CA,Sydney,Non-binary,Mobile,New,65
CUST00275,US,New York,Male,Mobile,Returning,35
CUST00276,UK,Berlin,Non-binary,Mobile,Returning,27
CUST00277,,Toronto,Prefer not to say,Mobile,Inactive,45
CUST00278,MX,Berlin,Non-binary,Desktop,Returning,45
CUST00279,UK,Sydney,Non-binary,Mobile,At-Risk,18
CUST00280,US,Chicago,Male,Desktop,At-Risk,55
CUST00281,AU,Toronto,Non-binary,Mobile,New,45
CUST00282,UK,Berlin,Non-binary,Desktop,VIP,55
CUST00283,AU,Mexico City,Prefer not to say,Mobile,New,38
CUST00284,US,LA,Male,Mobile,New,55
CUST00285,US,New York,Female,Tablet,VIP,21
CUST00286,DE,Sydney,Prefer not to say,Mobile,VIP,65
CUST00287,MX,London,Non-binary,Mobile,New,18
CUST00288,MX,LA,Female,Mobile,New,27
CUST00289,CA,Paris,Male,Desktop,New,35
CUST00290,DE,Toronto,Non-binary,Tablet,Inactive,25
CUST00291,FR,Paris,Prefer not to say,Tablet,New,18
CUST00292,US,Sydney,Prefer not to say,Tablet,New,65
CUST00293,US,Toronto,Female,Tablet,Inactive,55
CUST00294,CA,London,Male,Mobile,Inactive,23
CUST00295,US,Paris,Male,Desktop,New,56
CUST00296,DE,Mexico City,Non-binary,Desktop,VIP,45
CUST00297,UK,New York,Male,Desktop,Inactive,65
CUST00298,DE,Paris,Non-binary,Mobile,Inactive,57
CUST00299,UK,Paris,Prefer not to say,Mobile,Returning,33
CUST00300,MX,London,Female,Tablet,At-Risk,18
CUST00301,US,Chicago,Prefer not to say,Desktop,VIP,45
CUST00302,US,London,Male,Mobile,Returning,35
CUST00303,UK,Paris,Male,Mobile,Returning,55
CUST00304,US,Berlin,Prefer not to say,Mobile,Returning,55
CUST00305,US,Toronto,Female,Tablet,Inactive,80
CUST00306,CA,Chicago,Male,Mobile,New,38
CUST00307,CA,Berlin,Non-binary,Mobile,At-Risk,52
CUST00308,DE,LA,Female,Desktop,New,62
CUST00309,DE,Berlin,Prefer not to say,Desktop,At-Risk,45
CUST00310,US,Toronto,Prefer not to say,Desktop,Returning,35
CUST00311,CA,Sydney,Female,Desktop,VIP,65
CUST00312,CA,Toronto,Female,Tablet,Inactive,18
CUST00313,AU,Toronto,Prefer not to say,Desktop,Inactive,45
CUST00314,MX,London,Female,Desktop,Returning,65
CUST00315,MX,Sydney,Prefer not to say,Tablet,Returning,24
CUST00316,UK,Berlin,Male,Mobile,At-Risk,18
CUST00317,FR,New York,Prefer not to say,Desktop,New,35
CUST00318,US,Mexico City,Female,Desktop,New,18
CUST00319,FR,Chicago,Non-binary,Mobile,VIP,55
CUST00320,MX,Chicago,Non-binary,Desktop,New,18
CUST00321,UK,LA,Prefer not to say,Tablet,Returning,45
CUST00322,US,LA,Male,Desktop,New,35
CUST00323,US,Chicago,Female,Desktop,New,65
CUST00324,US,Chicago,Prefer not to say,Desktop,Returning,45
CUST00325,US,Paris,Male,Tablet,Returning,45
CUST00326,AU,Mexico City,Female,Desktop,Returning,18
CUST00327,US,Sydney,Non-binary,Tablet,VIP,35
CUST00328,DE,Sydney,Female,Tablet,Returning,18
CUST00329,DE,Berlin,Male,Mobile,VIP,20
CUST00330,CA,Paris,Prefer not to say,Tablet,New,80
CUST00331,MX,Mexico City,Female,Tablet,Returning,25
CUST00332,US,Sydney,Male,Desktop,Returning,25
CUST00333,US,Mexico City,Prefer not to say,Desktop,At-Risk,29
CUST00334,AU,LA,Male,Mobile,Returning,45
CUST00335,US,Sydney,Prefer not to say,Tablet,New,57
CUST00336,US,Berlin,Male,Tablet,At-Risk,43
CUST00337,MX,Toronto,Non-binary,Mobile,VIP,22
CUST00338,US,LA,Female,Mobile,At-Risk,45
CUST00339,AU,Paris,Female,Tablet,At-Risk,35
CUST00340,US,London,Female,Desktop,Returning,55
CUST00341,DE,Mexico City,Male,Mobile,Inactive,37
CUST00342,CA,Chicago,Female,Mobile,New,76
CUST00343,FR,London,Prefer not to say,Desktop,Returning,45
CUST00344,US,London,Non-binary,Desktop,Returning,45
CUST00345,DE,LA,Prefer not to say,Tablet,At-Risk,24
CUST00346,US,Paris,Female,Desktop,Returning,55
CUST00347,CA,Sydney,Non-binary,Tablet,Returning,55
CUST00348,US,Sydney,Male,Mobile,At-Risk,65
CUST00349,UK,Paris,Female,Tablet,Inactive,18
CUST00350,CA,London,Male,Tablet,At-Risk,26
CUST00351,CA,Chicago,Male,Desktop,Inactive,65
CUST00352,US,LA,Male,Mobile,VIP,45
CUST00353,DE,Sydney,Male,Mobile,Returning,30
CUST00354,MX,LA,Female,Desktop,New,65
CUST00355,US,London,Female,Desktop,Returning,35
CUST00356,FR,New York,Female,Desktop,New,25
CUST00357,FR,Paris,Prefer not to say,Mobile,New,78
CUST00358,US,Berlin,Prefer not to say,Desktop,VIP,62
CUST00359,FR,London,Male,Tablet,New,18
CUST00360,UK,Paris,Non-binary,Tablet,Returning,55
CUST00361,MX,LA,Male,Desktop,New,18
CUST00362,MX,Mexico City,Female,Desktop,Returning,55
CUST00363,DE,Toronto,Male,Mobile,New,24
CUST00364,CA,Paris,Prefer not to say,Tablet,VIP,75
CUST00365,UK,London,Male,Desktop,Returning,64
CUST00366,US,LA,Non-binary,Tablet,Returning,56
CUST00367,US,Paris,Male,Desktop,New,25
CUST00368,CA,Chicago,Male,Mobile,VIP,65
CUST00369,US,Mexico City,Non-binary,Mobile,Inactive,45
CUST00370,,New York,Non-binary,Desktop,At-Risk,18
CUST00371,CA,LA,Prefer not to say,Desktop,Inactive,73
CUST00372,UK,Chicago,Non-binary,Mobile,New,60
CUST00373,AU,Mexico City,Male,Mobile,New,24
CUST00374,US,Chicago,Female,Mobile,Returning,45
CUST00375,MX,Paris,Non-binary,Desktop,Returning,31
CUST00376,CA,New York,Female,Mobile,Returning,19
CUST00377,MX,London,Non-binary,Desktop,At-Risk,20
CUST00378,US,London,Female,Desktop,New,36
CUST00379,US,Toronto,Female,Mobile,Inactive,73
CUST00380,US,New York,Non-binary,Mobile,Returning,62
CUST00381,AU,Toronto,Female,Desktop,Returning,65
CUST00382,AU,Toronto,Prefer not to say,Tablet,New,44
CUST00383,AU,Mexico City,Female,Tablet,Returning,24
CUST00384,DE,Chicago,Female,Desktop,New,63
CUST00866,US,LA,Male,Tablet,VIP,35
CUST00385,AU,Sydney,Non-binary,Mobile,Returning,68
CUST00386,DE,Chicago,Prefer not to say,Desktop,New,22
CUST00387,UK,Toronto,Prefer not to say,Desktop,Inactive,35
CUST00388,US,London,Male,Mobile,At-Risk,25
CUST00389,US,Berlin,Prefer not to say,Tablet,New,65
CUST00390,CA,Paris,Prefer not to say,Tablet,New,25
CUST00391,US,Chicago,Male,Mobile,New,51
CUST00392,US,LA,Non-binary,Mobile,Returning,46
CUST00393,FR,LA,Non-binary,Mobile,At-Risk,46
CUST00394,US,Paris,Prefer not to say,Mobile,Returning,61
CUST00395,US,Chicago,Non-binary,Desktop,New,35
CUST00396,DE,London,Prefer not to say,Desktop,Returning,57
CUST00397,US,Chicago,Prefer not to say,Mobile,New,18
CUST00398,FR,Paris,Non-binary,Desktop,At-Risk,64
CUST00399,DE,London,Female,Mobile,Returning,60
CUST00400,US,Sydney,Non-binary,Tablet,New,35
CUST00401,US,Mexico City,Male,Mobile,New,65
CUST00402,US,Berlin,Non-binary,Tablet,New,30
CUST00403,CA,Toronto,Prefer not to say,Tablet,Returning,55
CUST00404,US,Toronto,Male,Tablet,New,21
CUST00405,DE,Berlin,Female,Desktop,At-Risk,34
CUST00406,DE,LA,Non-binary,Mobile,Inactive,65
CUST00407,MX,London,Non-binary,Mobile,New,60
CUST00408,FR,Chicago,Non-binary,Mobile,Returning,49
CUST00409,MX,London,Female,Mobile,VIP,35
CUST00410,MX,Berlin,Female,Tablet,New,55
CUST00411,,Toronto,Non-binary,Desktop,VIP,39
CUST00412,AU,Berlin,Prefer not to say,Mobile,Returning,76
CUST00413,AU,LA,Male,Mobile,Returning,21
CUST00414,US,Paris,Non-binary,Tablet,Returning,49
CUST00415,DE,Toronto,Female,Desktop,At-Risk,71
CUST00416,US,LA,Male,Desktop,New,38
CUST00417,AU,LA,Non-binary,Tablet,Returning,18
CUST00418,US,Chicago,Prefer not to say,Mobile,Inactive,45
CUST00419,US,Mexico City,Non-binary,Tablet,Returning,25
CUST00420,US,Mexico City,Prefer not to say,Mobile,Returning,18
CUST00421,MX,Sydney,Female,Mobile,New,21
CUST00422,FR,Sydney,Male,Desktop,Inactive,36
CUST00423,UK,Mexico City,Prefer not to say,Mobile,New,76
CUST00424,US,Sydney,Prefer not to say,Desktop,New,45
CUST00425,US,LA,Male,Tablet,At-Risk,27
CUST00426,DE,Paris,Prefer not to say,Tablet,Returning,25
CUST00427,US,Paris,Male,Tablet,New,52
CUST00428,FR,Sydney,Female,Mobile,New,55
CUST00429,US,Paris,Female,Tablet,Returning,18
CUST00430,CA,LA,Male,Desktop,Inactive,74
CUST00431,CA,New York,Prefer not to say,Mobile,Returning,41
CUST00432,DE,LA,Male,Tablet,Returning,64
CUST00433,UK,London,Prefer not to say,Tablet,At-Risk,39
CUST00434,UK,Paris,Female,Tablet,New,18
CUST00435,MX,Berlin,Female,Mobile,Returning,18
CUST00436,CA,London,Non-binary,Desktop,Returning,23
CUST00437,FR,Toronto,Female,Desktop,Inactive,18
CUST00438,CA,LA,Female,Desktop,VIP,43
CUST00439,UK,Mexico City,Female,Mobile,At-Risk,35
CUST00440,MX,Mexico City,Male,Mobile,At-Risk,25
CUST00441,US,Berlin,Female,Desktop,Returning,18
CUST00442,MX,New York,Female,Desktop,Inactive,65
CUST00443,US,Berlin,Non-binary,Mobile,Returning,45
CUST00444,US,New York,Female,Tablet,New,35
CUST00445,FR,London,Prefer not to say,Tablet,VIP,30
CUST00446,UK,New York,Female,Desktop,Returning,33
CUST00447,AU,Paris,Non-binary,Desktop,New,72
CUST00448,CA,Paris,Male,Mobile,Returning,77
CUST00449,UK,London,Non-binary,Tablet,Returning,65
CUST00450,CA,London,Non-binary,Tablet,Returning,35
CUST00451,US,Toronto,Male,Tablet,Returning,31
CUST00452,FR,Sydney,Non-binary,Desktop,VIP,29
CUST00453,AU,Toronto,Non-binary,Tablet,Returning,23
CUST00454,UK,Berlin,Non-binary,Mobile,At-Risk,65
CUST00455,US,Chicago,Non-binary,Tablet,New,35
CUST00456,FR,Toronto,Non-binary,Mobile,VIP,37
CUST00457,CA,Sydney,Male,Desktop,Returning,35
CUST00458,DE,Toronto,Male,Tablet,New,55
CUST00459,MX,Chicago,Female,Mobile,At-Risk,22
CUST00460,UK,Chicago,Male,Desktop,Returning,30
CUST00461,CA,Sydney,Non-binary,Mobile,New,65
CUST00462,US,LA,Female,Tablet,At-Risk,45
CUST00463,MX,Paris,Male,Mobile,Inactive,45
CUST00464,US,Mexico City,Female,Mobile,At-Risk,38
CUST00465,AU,Berlin,Non-binary,Mobile,New,25
CUST00466,DE,New York,Non-binary,Desktop,New,44
CUST00467,DE,Chicago,Non-binary,Desktop,Returning,64
CUST00468,MX,Chicago,Female,Tablet,New,18
CUST00469,US,New York,Prefer not to say,Tablet,Returning,24
CUST00470,US,LA,Male,Mobile,Inactive,58
CUST00471,UK,London,Prefer not to say,Tablet,New,45
CUST00472,FR,Paris,Male,Tablet,New,65
CUST00473,DE,LA,Male,Desktop,New,78
CUST00474,US,London,Female,Desktop,New,59
CUST00475,US,Toronto,Prefer not to say,Desktop,Returning,24
CUST00476,FR,Sydney,Female,Mobile,Inactive,19
CUST00477,AU,London,Female,Desktop,New,74
CUST00478,UK,Chicago,Male,Desktop,New,23
CUST00479,MX,New York,Male,Mobile,New,65
CUST00480,CA,London,Male,Desktop,At-Risk,35
CUST00481,US,Sydney,Non-binary,Desktop,Returning,46
CUST00482,FR,New York,Female,Mobile,New,28
CUST00483,DE,Paris,Non-binary,Tablet,Returning,79
CUST00484,UK,Paris,Prefer not to say,Mobile,New,45
CUST00485,CA,Mexico City,Female,Tablet,VIP,19
CUST00486,AU,Paris,Female,Desktop,Returning,67
